replicate,seed,inv_epsilon,epsilon,checkpoint,filter,delta,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error
0,20860741,90.0,0.011111111111111112,1000,alf_delta_one,1.0,1989,20000,0.09945,0.0953790762907885,0.10367476379375691,0.04999788522589184,1.9890841292723107
0,20860741,90.0,0.011111111111111112,1000,lof_bayes_optimal,,513,20000,0.02565,0.02354845056214702,0.027933734044279433,0.04999788522589184,0.5130216985000983
0,20960744,100.0,0.01,900,alf_sqrt_epsilon,0.1,1061,20000,0.05305,0.05002867231188214,0.056242988718669784,0.04605170185988092,1.1519661132483754
0,20960744,100.0,0.01,900,alf_0.7_over_log,0.1520030686661381,702,20000,0.0351,0.03263744572810331,0.03774110939686277,0.04605170185988092,0.7621868157402069
0,20960744,100.0,0.01,900,alf_epsilon_squared,0.0001,8542,20000,0.4271,0.4202591725398493,0.4339688263171307,0.04605170185988092,9.27435866104394
0,20960744,100.0,0.01,900,alf_delta_zero,0.0,9905,20000,0.49525,0.48832237105175974,0.5021794532907734,0.04605170185988092,10.754217108129273
0,20960744,100.0,0.01,900,alf_delta_one,1.0,2047,20000,0.10235,0.09822528665131106,0.10662743962410895,0.04605170185988092,2.222502011139891
0,20960744,100.0,0.01,900,lof_bayes_optimal,,494,20000,0.0247,0.02263849458473031,0.026944054890202743,0.04605170185988092,0.536353685150516
0,20960744,100.0,0.01,950,alf_sqrt_epsilon,0.1,1086,20000,0.0543,0.051244146982888684,0.057527033957522976,0.04605170185988092,1.1791095183673286
0,20960744,100.0,0.01,950,alf_0.7_over_log,0.1520030686661381,735,20000,0.03675,0.034230152091286895,0.03944776931469404,0.04605170185988092,0.7980161104972251
0,20960744,100.0,0.01,950,alf_epsilon_squared,0.0001,8605,20000,0.43025,0.4234022775487056,0.437124511481121,0.04605170185988092,9.342760041943706
0,20960744,100.0,0.01,950,alf_delta_zero,0.0,9976,20000,0.4988,0.49187139666352203,0.5057290642230127,0.04605170185988092,10.8313043786671
0,20960744,100.0,0.01,950,alf_delta_one,1.0,2069,20000,0.10345,0.09930515936468795,0.10774714443140862,0.04605170185988092,2.24638820764457
0,20960744,100.0,0.01,950,lof_bayes_optimal,,490,20000,0.0245,0.022447029622781108,0.02673559666657439,0.04605170185988092,0.5320107403314834
0,20960744,100.0,0.01,1000,alf_sqrt_epsilon,0.1,1062,20000,0.0531,0.050077282185358,0.05629435964158832,0.04605170185988092,1.1530518494531337
0,20960744,100.0,0.01,1000,alf_0.7_over_log,0.1520030686661381,722,20000,0.0361,0.033602548353347916,0.03877562269950596,0.04605170185988092,0.7839015398353695
0,20960744,100.0,0.01,1000,alf_epsilon_squared,0.0001,8725,20000,0.43625,0.42938992701435347,0.4431345575827999,0.04605170185988092,9.47304838651468
0,20960744,100.0,0.01,1000,alf_delta_zero,0.0,10026,20000,0.5013,0.4943709200371541,0.5082285806690999,0.04605170185988092,10.885591188905005
0,20960744,100.0,0.01,1000,alf_delta_one,1.0,2007,20000,0.10035,0.09626226864043033,0.10459122577921409,0.04605170185988092,2.1790725629495658
